product_code,local_file,source_url
MCYFMZ,MCYFMZ-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYFMZ-PO-03.jpg?v=1724933304
MCYFMZ,MCYFMZ-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYFMZ-PO-02.jpg?v=1724933304
MCYFMZ,MCYFMZ-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYFMZ-PO-01-ICON.jpg?v=1724933304
MCYMCN,MCYMCN-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYMCN-PO-ZOOM_a948d6d8-45f5-4556-a04a-443f4fb8b6b7.jpg?v=1725206738
MCYMCN,MCYMCN-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYMCN-PO-03.jpg?v=1724933983
MCYMCN,MCYMCN-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYMCN-PO-02.jpg?v=1724933983
MCYMCN,MCYMCN-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYMCN-PO-01-ICON.jpg?v=1724933983
MBYCLB,MBYCLB-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYCLB-PO-ZOOM.jpg?v=1741860576
MBYCLB,MBYCLB-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYCLB-PO-02.jpg?v=1741860626
MBYCLB,MBYCLB-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYCLB-PO-01.jpg?v=1741860626
MBYCLB,MBYCLB-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYCLB-PO-03.jpg?v=1741860601
MBYJLD,MBYJLD-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYJLD-PO-ZOOM.jpg?v=1741862614
MBYJLD,MBYJLD-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYJLD-PO-02.jpg?v=1741862614
MBYJLD,MBYJLD-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYJLD-PO-03.jpg?v=1741862614
MBYJLD,MBYJLD-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYJLD-PO-01.jpg?v=1741862614
MBYPCS,MBYPCS-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPCS-PO-ZOOM.jpg?v=1741862854
MBYPCS,MBYPCS-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPCS-PO-01.jpg?v=1741862854
MBYPCS,MBYPCS-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPCS-PO-02.jpg?v=1741862854
MBYPCS,MBYPCS-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPCS-PO-03.jpg?v=1741862854
MBYPDS,MBYPDS-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPDS-PO-ZOOM.jpg?v=1741863042
MBYPDS,MBYPDS-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPDS-PO-01.jpg?v=1741863049
MBYPDS,MBYPDS-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPDS-PO-03.jpg?v=1741863049
MBYPDS,MBYPDS-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPDS-PO-02.jpg?v=1741863043
MBYPYH,MBYPYH-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPYH-PO-ZOOM.jpg?v=1741863199
MBYPYH,MBYPYH-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPYH-PO-01.jpg?v=1741863199
MBYPYH,MBYPYH-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPYH-PO-03.jpg?v=1741863199
MBYPYH,MBYPYH-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYPYH-PO-02.jpg?v=1741863199
MCYSBN,MCYSBN-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYSBN-PO-ZOOM.jpg?v=1741863511
MCYSBN,MCYSBN-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYSBN-PO-01-ICON.jpg?v=1741863511
